Timestamp,Do you give your consent for your anonymous responses to be used for this community research project?  ,What is your gender?,What is your age group?,What is your first language?,What device do you most often use to browse websites?,"When you are browsing websites online, which features help you the most? (select all that apply)",What kind of content do you most enjoy when exploring stories online? (Select all that apply),What would make you feel personally represented in an archive? (You can skip this question or write “Prefer not to say” if you’re unsure.),Do you see yourself as someone who could contribute a story or memory to the archive?,"How would you prefer to contribute to the archive in the future?
(Select all that apply)","Which of the following would make you feel more comfortable contributing to the archive?

(Select all that apply)  ","Is there anything that might discourage you from contributing a story or artwork to the archive?
(Feel free to be honest. You can leave this blank or write “Prefer not to say” if you’re unsure.)","How would you like to be updated on new additions to the archive? 
(Select all that apply)",Would you find it helpful to have a chatbot on the archive website to assist with browsing or submitting stories?,"Finally, do you have any ideas or suggestions for how this archive could be made welcoming and fun to explore?
Feel free to share any ideas — big or small! If you're not sure or don’t have suggestions right now, you can leave this blank or write “Prefer not to say.”
",I believe future generations of community members would benefit from having access to a digital archive.,I would be eager to contribute my work and experiences to the contents of a community digital archive.,"I prefer to have multiple ways of accessing, interacting with, and contributing to digital archive, rather than a limited or static experience."
12/07/2025 23:22:06,"Yes, I give my consent",Female,50-59,English,Mobile phone,High contrast or clear colours,"Text stories or articles, Photos or artwork, Audio recordings or podcasts, Video clips, Interactive maps or timelines",,"Maybe, if the website is easy to use","By uploading a story, memory, or photo myself, By speaking to someone who uploads it for me, Through a community workshop or storytelling session","Clear guidance on how to upload a story, The possibility to speak instead of writing, Seeing other stories like mine, A mobile-friendly way to submit, Being able to post anonymously if I want",,"Newsletter, Social media (e.g. Facebook, Instagram)","Yes, a chatbot would make things easier",,5,5,5
12/07/2025 23:28:34,"Yes, I give my consent",Female,18-29,English,Laptop,"High contrast or clear colours, Audio versions of content, The search bar","Photos or artwork, Video clips, Interactive maps or timelines",Seeing relevant information to my interests.,"Yes, I feel enthusiastic about sharing my memories","By uploading a story, memory, or photo myself, Through a community workshop or storytelling session","Clear guidance on how to upload a story, Being able to post anonymously if I want",If the archive feels too out of date and not seeming to be open to new ideas and accounts.,"Social media (e.g. Facebook, Instagram)","Maybe, if it’s simple and respectful",,5,4,5
13/07/2025 00:39:51,"Yes, I give my consent",Female,70+,English,Desktop computer,well presented information - bullet points - option to click on the bullet point.,"Text stories or articles, Photos or artwork",Stories from Stratford people - especially those that I know.,"Yes, I feel enthusiastic about sharing my memories",By speaking to someone who uploads it for me,"The possibility to speak instead of writing, Seeing other stories like mine",Heavy politics.,Newsletter,"No, I’d prefer human support",I'd like to see archives that go back as far as possible.,5,5,3
15/07/2025 20:43:53,"Yes, I give my consent",Female,18-29,English,Mobile phone,High contrast or clear colours,"Text stories or articles, Photos or artwork, Video clips",Prefer not to say as I don't understand the question.,"Yes, I feel enthusiastic about sharing my memories","By uploading a story, memory, or photo myself, Through a community workshop or storytelling session",The possibility to speak instead of writing,I think unpleasant comments that would discourage me. I've had nasty comments from one person regarding to my artwork that I do.,"Newsletter, Social media (e.g. Facebook, Instagram)","Yes, a chatbot would make things easier",No I think everything is covered.,5,4,5
15/07/2025 21:30:35,"Yes, I give my consent",Male,70+,English,Tablet,"High contrast or clear colours, Audio versions of content","Text stories or articles, Photos or artwork, Audio recordings or podcasts, Video clips, Interactive maps or timelines",Not sure what to say here. ,"Yes, I feel enthusiastic about sharing my memories","By uploading a story, memory, or photo myself, By speaking to someone who uploads it for me, Through a community workshop or storytelling session","Clear guidance on how to upload a story, Seeing other stories like mine, Being able to post anonymously if I want",Some stories feel too personal ,I would rather not receive updates,I’m not sure,The simpler the better. ,5,5,5
15/07/2025 22:34:23,"Yes, I give my consent",Female,60-69,English,Laptop,High contrast or clear colours,"Text stories or articles, Photos or artwork",,"Maybe, if the website is easy to use",I’m not sure yet,Being able to post anonymously if I want,,Newsletter,I’m not sure,,4,3,3
15/07/2025 22:34:24,"Yes, I give my consent",Female,50-59,English,Mobile phone,"High contrast or clear colours, Help or tutorial videos","Text stories or articles, Photos or artwork",,"Maybe, if the website is easy to use",I’m not sure yet,"Seeing other stories like mine, A mobile-friendly way to submit, Being able to post anonymously if I want",,I would rather not receive updates,I’m not sure,,5,3,3
15/07/2025 23:53:48,"Yes, I give my consent",Female,50-59,English,Mobile phone,High contrast or clear colours,"Photos or artwork, Video clips, Interactive maps or timelines",,"Maybe, if the website is easy to use","By uploading a story, memory, or photo myself, Through a community workshop or storytelling session",The possibility to speak instead of writing,,"Social media (e.g. Facebook, Instagram)",I’m not sure,,5,5,5
16/07/2025 00:28:37,"Yes, I give my consent",Female,50-59,English,Mobile phone,Help or tutorial videos,"Text stories or articles, Photos or artwork, Audio recordings or podcasts, Video clips, Interactive maps or timelines",Unsure,"Yes, I feel enthusiastic about sharing my memories","By uploading a story, memory, or photo myself","Clear guidance on how to upload a story, A mobile-friendly way to submit",Prefer not tonsat,"Social media (e.g. Facebook, Instagram)","Maybe, if it’s simple and respectful",,5,4,5
16/07/2025 01:35:38,"Yes, I give my consent",Male,60-69,English,Mobile phone,"High contrast or clear colours, Help me spell as I am dyslexic","Text stories or articles, Photos or artwork, Video clips",Good idea,"Maybe, if the website is easy to use","By uploading a story, memory, or photo myself, Through a community workshop or storytelling session",The possibility to speak instead of writing,Great idea,"Newsletter, Social media (e.g. Facebook, Instagram)","Maybe, if it’s simple and respectful",Don't know leave it up to the experts,5,3,4
